"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"306",2008,"July","BL",20,"cm","Unknown","Gear is HnL",1,1
"307",2008,"July","BL",27,"cm","Unknown","Gear is HnL",1,1
"308",2008,"July","BL",23,"cm","Unknown","Gear is HnL",1,1
"309",2008,"July","BL",20,"cm","Unknown","Gear is HnL",1,1
"310",2011,"July","BL",26,"cm","Unknown","Gear is HnL",0,1
"311",2011,"July","BL",25,"cm","Unknown","Gear is HnL",0,1
"312",2011,"July","BL",26,"cm","Unknown","Gear is HnL",0,1
"313",2011,"July","BL",22,"cm","Unknown","Gear is HnL",0,1
"314",2011,"July","BL",27,"cm","Unknown","Gear is HnL",0,1
"315",2011,"July","BL",29,"cm","Unknown","Gear is HnL",0,1
"316",2011,"July","BL",22,"cm","Unknown","Gear is HnL",0,1
"317",2011,"July","BL",27,"cm","Unknown","Gear is HnL",0,1
"318",2011,"July","BL",26,"cm","Unknown","Gear is HnL",0,1
"319",2011,"July","BL",26,"cm","Unknown","Gear is HnL",0,1
"320",2011,"July","BL",29,"cm","Unknown","Gear is HnL",0,1
"321",2011,"July","BL",28,"cm","Unknown","Gear is HnL",0,1
"322",2011,"July","BL",27,"cm","Unknown","Gear is HnL",0,1
"323",2011,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"324",2011,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"325",2011,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"326",2011,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"327",2012,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"328",2012,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"329",2012,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"330",2012,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"331",2012,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"332",2009,"August","BL",NA,"cm","Unknown","Gear is HnL",0,1
"333",2009,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"334",2009,"August","BL",30,"cm","Unknown","Gear is HnL",0,1
"335",2009,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"336",2009,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"337",2009,"August","BL",21,"cm","Unknown","Gear is HnL",0,1
"338",2009,"August","BL",31,"cm","Unknown","Gear is HnL",0,1
"339",2012,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"340",2012,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"341",2012,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"342",2012,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"343",2012,"August","BL",23,"cm","Unknown","Gear is HnL",0,1
"344",2012,"August","BL",24,"cm","Unknown","Gear is HnL",0,1
"345",2012,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"346",2012,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"347",2012,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"348",2012,"August","BL",23,"cm","Unknown","Gear is HnL",0,1
"349",2012,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"350",2012,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"351",2012,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"352",2012,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"353",2012,"August","BL",24,"cm","Unknown","Gear is HnL",0,1
"354",2012,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"355",2012,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"356",2008,"September","BL",25,"cm","Unknown","Gear is HnL",0,1
"357",2008,"September","BL",25,"cm","Unknown","Gear is HnL",0,1
"358",2008,"September","BL",25,"cm","Unknown","Gear is HnL",0,1
"359",2008,"September","BL",24,"cm","Unknown","Gear is HnL",0,1
"360",2008,"September","BL",25,"cm","Unknown","Gear is HnL",0,1
"361",2008,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"362",2008,"September","BL",24,"cm","Unknown","Gear is HnL",0,1
"363",2008,"September","BL",24,"cm","Unknown","Gear is HnL",0,1
"364",2008,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"365",2008,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"366",2008,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"367",2009,"August","BL",30,"cm","Unknown","Gear is HnL",0,1
"368",2009,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"369",2009,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"370",2009,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"371",2009,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"372",2009,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"373",2009,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"374",2009,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"375",2009,"August","BL",31,"cm","Unknown","Gear is HnL",0,1
"376",2009,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"377",2009,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"378",2009,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"379",2009,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"380",2009,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"381",2011,"August","BL",28,"cm","Unknown","Gear is HnL",1,1
"382",2011,"August","BL",29,"cm","Unknown","Gear is HnL",1,1
"383",2011,"August","BL",27,"cm","Unknown","Gear is HnL",1,1
"384",2011,"August","BL",29,"cm","Unknown","Gear is HnL",1,1
"385",2011,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"386",2011,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"387",2011,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"388",2011,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
"389",2011,"August","BL",19,"cm","Unknown","Gear is HnL",1,1
"390",2011,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"391",2011,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
"392",2011,"August","BL",22,"cm","Unknown","Gear is HnL",1,1
"393",2011,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"394",2011,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
