"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"228",2007,"October","PB",35,"cm","Unknown","Gear is HnL",1,1
"229",2007,"October","PB",34,"cm","Unknown","Gear is HnL",1,1
"230",2007,"October","PB",34,"cm","Unknown","Gear is HnL",1,1
"231",2007,"October","PB",34,"cm","Unknown","Gear is HnL",1,1
"232",2007,"October","PB",33,"cm","Unknown","Gear is HnL",1,1
"233",2007,"October","PB",21,"cm","Unknown","Gear is HnL",1,1
"234",2007,"October","PB",20,"cm","Unknown","Gear is HnL",1,1
"235",2007,"October","PB",25,"cm","Unknown","Gear is HnL",1,1
"236",2007,"October","PB",22,"cm","Unknown","Gear is HnL",1,1
"237",2007,"October","PB",35,"cm","Unknown","Gear is HnL",1,1
"238",2007,"October","PB",19,"cm","Unknown","Gear is HnL",1,1
"239",2007,"October","PB",30,"cm","Unknown","Gear is HnL",1,1
"240",2007,"October","PB",34,"cm","Unknown","Gear is HnL",1,1
"241",2008,"August","PB",30,"cm","Unknown","Gear is HnL",0,1
"242",2008,"July","PB",24,"cm","Unknown","Gear is HnL",1,1
"243",2008,"July","PB",22,"cm","Unknown","Gear is HnL",1,1
"244",2008,"July","PB",24,"cm","Unknown","Gear is HnL",1,1
"245",2008,"July","PB",26,"cm","Unknown","Gear is HnL",1,1
"246",2008,"July","PB",24,"cm","Unknown","Gear is HnL",1,1
"247",2008,"July","PB",22,"cm","Unknown","Gear is HnL",1,1
"248",2008,"July","PB",24,"cm","Unknown","Gear is HnL",1,1
"249",2008,"July","PB",35,"cm","Unknown","Gear is HnL",1,1
"250",2008,"July","PB",24,"cm","Unknown","Gear is HnL",1,1
"251",2008,"July","PB",25,"cm","Unknown","Gear is HnL",1,1
"252",2008,"July","PB",23,"cm","Unknown","Gear is HnL",1,1
"253",2008,"July","PB",21,"cm","Unknown","Gear is HnL",1,1
"254",2008,"July","PB",22,"cm","Unknown","Gear is HnL",1,1
"255",2013,"August","PB",28,"cm","Unknown","Gear is HnL",0,1
"256",2011,"July","PB",32,"cm","Unknown","Gear is HnL",1,1
"257",2011,"July","PB",25,"cm","Unknown","Gear is HnL",1,1
"258",2011,"July","PB",30,"cm","Unknown","Gear is HnL",1,1
"259",2011,"July","PB",30,"cm","Unknown","Gear is HnL",1,1
"260",2011,"July","PB",21,"cm","Unknown","Gear is HnL",1,1
"261",2011,"July","PB",31,"cm","Unknown","Gear is HnL",1,1
"262",2011,"July","PB",21,"cm","Unknown","Gear is HnL",1,1
"263",2011,"September","PB",32,"cm","Unknown","Gear is HnL",0,1
"264",2009,"July","PB",30,"cm","Unknown","Gear is HnL",1,1
"265",2008,"August","PB",29,"cm","Unknown","Gear is HnL",0,1
"266",2008,"August","PB",32,"cm","Unknown","Gear is HnL",0,1
"267",2008,"August","PB",24,"cm","Unknown","Gear is HnL",0,1
"268",2008,"August","PB",24,"cm","Unknown","Gear is HnL",0,1
"269",2008,"August","PB",28,"cm","Unknown","Gear is HnL",0,1
"270",2008,"August","PB",33,"cm","Unknown","Gear is HnL",0,1
"271",2009,"September","PB",29,"cm","Unknown","Gear is HnL",0,1
"272",2008,"July","PB",28,"cm","Unknown","Gear is HnL",0,1
"273",2008,"July","PB",35,"cm","Unknown","Gear is HnL",0,1
"274",2008,"July","PB",35,"cm","Unknown","Gear is HnL",0,1
"275",2008,"July","PB",28,"cm","Unknown","Gear is HnL",0,1
"276",2008,"July","PB",24,"cm","Unknown","Gear is HnL",0,1
"277",2008,"August","PB",24,"cm","Unknown","Gear is HnL",0,1
"278",2008,"August","PB",23,"cm","Unknown","Gear is HnL",0,1
"279",2008,"August","PB",21,"cm","Unknown","Gear is HnL",0,1
"280",2008,"August","PB",22,"cm","Unknown","Gear is HnL",0,1
"281",2008,"August","PB",23,"cm","Unknown","Gear is HnL",0,1
"282",2008,"August","PB",22,"cm","Unknown","Gear is HnL",0,1
"283",2008,"August","PB",32,"cm","Unknown","Gear is HnL",0,1
"284",2008,"August","PB",33,"cm","Unknown","Gear is HnL",0,1
"285",2008,"August","PB",27,"cm","Unknown","Gear is HnL",0,1
"286",2008,"August","PB",21,"cm","Unknown","Gear is HnL",0,1
"287",2007,"October","PB",35,"cm","Unknown","Gear is HnL",1,1
"288",2007,"October","PB",24,"cm","Unknown","Gear is HnL",1,1
"289",2007,"October","PB",30,"cm","Unknown","Gear is HnL",1,1
"290",2007,"October","PB",28,"cm","Unknown","Gear is HnL",1,1
"291",2008,"September","PB",27,"cm","Unknown","Gear is HnL",1,1
"292",2008,"September","PB",26,"cm","Unknown","Gear is HnL",1,1
"293",2008,"September","PB",25,"cm","Unknown","Gear is HnL",1,1
"294",2008,"September","PB",28,"cm","Unknown","Gear is HnL",1,1
"295",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"296",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"297",2008,"September","PB",25,"cm","Unknown","Gear is HnL",1,1
"298",2008,"September","PB",25,"cm","Unknown","Gear is HnL",1,1
"299",2008,"September","PB",28,"cm","Unknown","Gear is HnL",1,1
"300",2008,"September","PB",26,"cm","Unknown","Gear is HnL",1,1
"301",2008,"September","PB",28,"cm","Unknown","Gear is HnL",1,1
"302",2008,"September","PB",35,"cm","Unknown","Gear is HnL",1,1
"303",2008,"September","PB",26,"cm","Unknown","Gear is HnL",1,1
"304",2008,"September","PB",21,"cm","Unknown","Gear is HnL",1,1
"305",2008,"September","PB",31,"cm","Unknown","Gear is HnL",1,1
"306",2008,"September","PB",31,"cm","Unknown","Gear is HnL",1,1
"307",2008,"September","PB",34,"cm","Unknown","Gear is HnL",1,1
"308",2008,"September","PB",34,"cm","Unknown","Gear is HnL",1,1
"309",2008,"September","PB",35,"cm","Unknown","Gear is HnL",1,1
"310",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"311",2008,"September","PB",35,"cm","Unknown","Gear is HnL",1,1
"312",2008,"September","PB",23,"cm","Unknown","Gear is HnL",1,1
"313",2008,"September","PB",27,"cm","Unknown","Gear is HnL",1,1
"314",2008,"September","PB",34,"cm","Unknown","Gear is HnL",1,1
"315",2008,"September","PB",28,"cm","Unknown","Gear is HnL",1,1
"316",2008,"September","PB",37,"cm","Unknown","Gear is HnL",1,1
"317",2008,"September","PB",25,"cm","Unknown","Gear is HnL",1,1
"318",2008,"September","PB",25,"cm","Unknown","Gear is HnL",1,1
"319",2008,"September","PB",23,"cm","Unknown","Gear is HnL",1,1
"320",2008,"September","PB",25,"cm","Unknown","Gear is HnL",1,1
"321",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"322",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
